tecnica,lote,tentativa,ambiente,sucesso,tempo_s,falha_motivo
ssl_inexistente,1,1,sim,0,,hook nao instalado (timeout)
ssl_inexistente,1,2,sim,0,,hook nao instalado (timeout)
ssl_inexistente,1,3,sim,0,,hook nao instalado (timeout)
ssl_inexistente,1,4,sim,0,,hook nao instalado (timeout)
ssl_inexistente,1,5,sim,0,,hook nao instalado (timeout)
ssl_inexistente,1,6,sim,0,,hook nao instalado (timeout)
ssl_inexistente,1,7,sim,0,,hook nao instalado (timeout)
ssl_inexistente,1,8,sim,0,,hook nao instalado (timeout)
ssl_inexistente,1,9,sim,0,,hook nao instalado (timeout)
ssl_inexistente,1,10,sim,0,,hook nao instalado (timeout)
