tecnica,lote,tentativa,ambiente,sucesso,tempo_s,falha_motivo
ssl,1,1,sim,1,0.412,
ssl,1,2,sim,1,0.112,
ssl,1,3,sim,1,0.099,
ssl,1,4,sim,1,0.11,
ssl,1,5,sim,1,0.086,
ssl,1,6,sim,1,0.108,
ssl,1,7,sim,1,0.107,
ssl,1,8,sim,1,0.116,
ssl,1,9,sim,1,0.097,
ssl,1,10,sim,1,0.112,
ssl,1,11,sim,1,0.098,
ssl,1,12,sim,1,0.114,
ssl,1,13,sim,1,0.116,
ssl,1,14,sim,1,0.105,
ssl,1,15,sim,1,0.093,
ssl,1,16,sim,1,0.098,
ssl,1,17,sim,1,0.106,
ssl,1,18,sim,1,0.1,
ssl,1,19,sim,1,0.09,
ssl,1,20,sim,1,0.104,
ssl,1,21,sim,1,0.116,
ssl,1,22,sim,1,0.108,
ssl,1,23,sim,1,0.106,
ssl,1,24,sim,1,0.091,
ssl,1,25,sim,1,0.094,
ssl,1,26,sim,1,0.105,
ssl,1,27,sim,1,0.106,
ssl,1,28,sim,1,0.103,
ssl,1,29,sim,1,0.111,
ssl,1,30,sim,1,0.106,
ssl,2,1,sim,1,0.099,
ssl,2,2,sim,1,0.118,
ssl,2,3,sim,1,0.112,
ssl,2,4,sim,1,0.112,
ssl,2,5,sim,1,0.109,
ssl,2,6,sim,1,0.093,
ssl,2,7,sim,1,0.099,
ssl,2,8,sim,1,0.105,
ssl,2,9,sim,1,0.115,
ssl,2,10,sim,1,0.11,
ssl,2,11,sim,1,0.104,
ssl,2,12,sim,1,0.113,
ssl,2,13,sim,1,0.114,
ssl,2,14,sim,1,0.109,
ssl,2,15,sim,1,0.113,
ssl,2,16,sim,1,0.112,
ssl,2,17,sim,1,0.111,
ssl,2,18,sim,1,0.106,
ssl,2,19,sim,1,0.101,
ssl,2,20,sim,1,0.117,
ssl,2,21,sim,1,0.113,
ssl,2,22,sim,1,0.117,
ssl,2,23,sim,1,0.113,
ssl,2,24,sim,1,0.113,
ssl,2,25,sim,1,0.111,
ssl,2,26,sim,1,0.107,
ssl,2,27,sim,1,0.114,
ssl,2,28,sim,1,0.112,
ssl,2,29,sim,1,0.087,
ssl,2,30,sim,1,0.113,
ssl,3,1,sim,1,0.109,
ssl,3,2,sim,1,0.1,
ssl,3,3,sim,1,0.103,
ssl,3,4,sim,1,0.111,
ssl,3,5,sim,1,0.113,
ssl,3,6,sim,1,0.117,
ssl,3,7,sim,1,0.111,
ssl,3,8,sim,1,0.115,
ssl,3,9,sim,1,0.11,
ssl,3,10,sim,1,0.105,
ssl,3,11,sim,1,0.08,
ssl,3,12,sim,1,0.116,
ssl,3,13,sim,1,0.104,
ssl,3,14,sim,1,0.103,
ssl,3,15,sim,1,0.103,
ssl,3,16,sim,1,0.115,
ssl,3,17,sim,1,0.112,
ssl,3,18,sim,1,0.112,
ssl,3,19,sim,1,0.111,
ssl,3,20,sim,1,0.117,
ssl,3,21,sim,1,0.087,
ssl,3,22,sim,1,0.103,
ssl,3,23,sim,1,0.117,
ssl,3,24,sim,1,0.117,
ssl,3,25,sim,1,0.102,
ssl,3,26,sim,1,0.116,
ssl,3,27,sim,1,0.116,
ssl,3,28,sim,1,0.114,
ssl,3,29,sim,1,0.105,
ssl,3,30,sim,1,0.105,
keychain,1,1,sim,1,0.113,
keychain,1,2,sim,1,0.116,
keychain,1,3,sim,1,0.102,
keychain,1,4,sim,1,0.114,
keychain,1,5,sim,1,0.108,
keychain,1,6,sim,1,0.113,
keychain,1,7,sim,1,0.114,
keychain,1,8,sim,1,0.117,
keychain,1,9,sim,1,0.115,
keychain,1,10,sim,1,0.102,
keychain,1,11,sim,1,0.119,
keychain,1,12,sim,1,0.109,
keychain,1,13,sim,1,0.11,
keychain,1,14,sim,1,0.111,
keychain,1,15,sim,1,0.117,
keychain,1,16,sim,1,0.103,
keychain,1,17,sim,1,0.105,
keychain,1,18,sim,1,0.112,
keychain,1,19,sim,1,0.115,
keychain,1,20,sim,1,0.117,
keychain,1,21,sim,1,0.088,
keychain,1,22,sim,1,0.111,
keychain,1,23,sim,1,0.109,
keychain,1,24,sim,1,0.111,
keychain,1,25,sim,1,0.118,
keychain,1,26,sim,1,0.096,
keychain,1,27,sim,1,0.119,
keychain,1,28,sim,1,0.113,
keychain,1,29,sim,1,0.11,
keychain,1,30,sim,1,0.113,
keychain,2,1,sim,1,0.109,
keychain,2,2,sim,1,0.109,
keychain,2,3,sim,1,0.114,
keychain,2,4,sim,1,0.091,
keychain,2,5,sim,1,0.094,
keychain,2,6,sim,1,0.103,
keychain,2,7,sim,1,0.102,
keychain,2,8,sim,1,0.103,
keychain,2,9,sim,1,0.103,
keychain,2,10,sim,1,0.117,
keychain,2,11,sim,1,0.11,
keychain,2,12,sim,1,0.115,
keychain,2,13,sim,1,0.114,
keychain,2,14,sim,1,0.104,
